Epoch,Train_loss,Train_acc,Test_acc
1,1.798785405476888,0.6152833333333333,0.7357
2,1.6540919198354085,0.7502333333333333,0.7645
3,1.632767202059428,0.7769666666666667,0.7985
4,1.6211356070836385,0.7953,0.803
5,1.6130915444691976,0.80345,0.816
6,1.6074350833257038,0.8142,0.8228
7,1.6036623331069946,0.81735,0.8186
8,1.5994492050170899,0.8241833333333334,0.8368
9,1.596959958966573,0.82475,0.8321
10,1.593839624595642,0.82975,0.8053
11,1.5931811027526857,0.8306166666666667,0.8382
12,1.590986676979065,0.8323666666666667,0.8288
13,1.5882139857610067,0.8360666666666666,0.8404
14,1.5873296604156495,0.8355166666666667,0.8346
15,1.5866605833053589,0.8384,0.8457
16,1.5848387513478597,0.8386166666666667,0.8522
17,1.5832680337270102,0.8421,0.846
18,1.5828090508143107,0.8407333333333333,0.8509
19,1.5819904457092284,0.8433666666666667,0.8554
20,1.5807239044189454,0.8449666666666666,0.8382
21,1.5801557312011718,0.84445,0.8511
22,1.5787745398839315,0.84585,0.846
23,1.577419012705485,0.84655,0.8549
24,1.5771021535873413,0.8492333333333333,0.8464
25,1.5775655789693197,0.8487833333333333,0.8474
26,1.576410935084025,0.8490666666666666,0.8472
27,1.5755946581522624,0.8495833333333334,0.8606
28,1.5749894374847413,0.8503833333333334,0.8497
29,1.5734894179026286,0.85245,0.8393
30,1.5741956525802612,0.8535333333333334,0.8452
31,1.5734772148132323,0.8504666666666667,0.8522
32,1.5740077275594075,0.8504333333333334,0.848
33,1.5720484453201293,0.8520833333333333,0.8586
34,1.572766603533427,0.8517,0.8626
35,1.5717093362808228,0.85615,0.8672
36,1.5716339595158895,0.85545,0.849
37,1.5719607787450154,0.8561333333333333,0.8606
38,1.5710779664357504,0.8553833333333334,0.8563
39,1.5697814955393474,0.8561833333333333,0.863
40,1.5714685916900635,0.8544666666666667,0.8566
41,1.5703664220809936,0.8562666666666666,0.8559
42,1.5689638423283896,0.8578666666666667,0.8672
43,1.569668579419454,0.85675,0.8539
44,1.568931690788269,0.8566333333333334,0.8502
45,1.5686888980865479,0.8587,0.862
46,1.5686199731826782,0.8579666666666667,0.8604
47,1.5680491738001505,0.8576666666666667,0.8568
48,1.5669348903656006,0.8616166666666667,0.8624
49,1.5682985780715943,0.8596833333333334,0.854
50,1.567877459081014,0.8573166666666666,0.8534
